"Apiary Display Category";"Apiary Display Label";"DwC/AP Term Name";"DwC/AP Class";"ROI association";"UI Category";"Parse level";"Input rules";"Examples-- ROI primary label";"ROI annotation 1";"ROI annotation 2";"ROI annotation 3";
"Collection";"Verbatim Collector(s)";"recordedBy";"DwC Occurrence";"primary";"who";1;"Verbatim, only 1 entry allowed";"V. L. Cory & Lloyd Shinners";;;;
"Collection";"Standardized Primary Collector";"primaryRecorder";"AP Occurrence";"primary";"who";2;"Controlled vocab from Harvard Herbaria botanist database, only 1 entry allowed";"V. L. Cory";;;;
"Collection";"Collector Number";"recordNumber";"DwC Occurrence";"primary";"who";1;"Verbatim, only 1 entry allowed";"50716";;;;
"Collection";"Standardized Collection Date";"eventDate";"DwC Event";"primary";"when";2;"ISO 8601:2004(E) encoding scheme, only 1 entry allowed";"1945-11-12";;;;
"Collection";"Verbatim Collection Date";"verbatimEventDate";"DwC Event";"primary";"when";1;"Verbatim, only 1 entry allowed";"November 12, 1945";;;;
"Collection";"Event Remarks";"eventRemarks";"DwC Event";"primary";"when";1;;"Area recently mown.";;;;
;;;;;;;;;;;;
"Location";"Higher Geography";"higherGeography";"DwC Location";"N/A, autofill";"where";3;"Autofilled";"North America, United States of America, Texas, Tarrant";;;;
"Location";"Continent";"continent";"DwC Location";"N/A";"where";2;;"North America";;;;
"Location";"Water Body";"waterBody";"DwC Location";"primary";"where";2;;;;;;
"Location";"Island Group";"islandGroup";"DwC Location";"primary";"where";2;;;;;;
"Location";"Island";"island";"DwC Location";"primary";"where";2;;;;;;
"Location";"Country";"country";"DwC Location";"primary";"where";2;;"United States of America";;;;
"Location";"Country ISO Code";"countryCode";"DwC Location";"primary";"where";2;;"US";;;;
"Location";"State/Province";"stateProvince";"DwC Location";"primary";"where";2;;"Texas";;;;
"Location";"County/Department";"county";"DwC Location";"primary";"where";2;;"Harris";;;;
"Location";"Municipality";"municipality";"DwC Location";"primary";"where";2;;;;;;
"Location";"Locality";"locality";"DwC Location";"primary";"where";2;;"Harris Co., 6 1/2 miles southwest of Genoa.";;;;
"Location";"Verbatim Locality";"verbatimLocality";"DwC Location";"primary";"where";1;"Verbatim, multiple entries allowed";"Harris Co., 6 1/2 miles southwest of Genoa.";;;;
"Location";"Location Remarks";"locationRemarks";"DwC Location";"primary";"where";2;;;;;;
"Location";"Locality Label";"localityLabel";"AP Location";"primary";"where";1;;;;;;
;;;;;;;;;;;;
"Coordinates";"Verbatim Elevation";"verbatimElevation";"DwC Location";"primary";"where";1;;;;;;
"Coordinates";"Minimum Elevation in Meters";"minimumElevationInMeters";"DwC Location";"primary";"where";2;;;;;;
"Coordinates";"Maximum Elevation in Meters";"maximumElevationInMeters";"DwC Location";"primary";"where";2;;;;;;
"Coordinates";"Verbatim Coordinates";"verbatimCoordinates";"DwC Location";"primary, annotation";"where";1;;;;;;
"Coordinates";"Verbatim Latitude";"verbatimLatitude";"DwC Location";"primary, annotation";"where";2;;;;;;
"Coordinates";"Verbatim Longitude";"verbatimLongitude";"DwC Location";"primary, annotation";"where";2;;;;;;
"Coordinates";"Verbatim Coordinate System";"verbatimCoordinateSystem";"DwC Location";"primary, annotation";"where";2;;;;;;
"Coordinates";"Verbatim Spatial Reference System";"verbatimSRS";"DwC Location";"primary, annotation";"where";2;;;;;;
"Coordinates";"Geodetic Datum";"geodeticDatum";"DwC Location";"primary, annotation";"where";2;;;;;;
"Coordinates";"Decimal Latitude";"decimalLatitude";"DwC Location";"primary, annotation, or N/A";"where";3;;;;;;
"Coordinates";"Decimal Longitude";"decimalLongitude";"DwC Location";"primary, annotation, or N/A";"where";3;;;;;;
"Coordinates";"Coordinate Uncertainty in Meters";"coordinateUncertaintyInMeters";"DwC Location";"primary, annotation, or N/A";"where";3;;;;;;
"Coordinates";"Coordinate Precision";"coordinatePrecision";"DwC Location";"primary, annotation, or N/A";"where";3;;;;;;
"Coordinates";"Georeferenced By";"georeferencedBy";"DwC Location";"primary, annotation, or N/A";"where";3;;;;;;
